sim#;thickness;TransportTimeAfterHeating;EnforcedTemperatureOfEntireSheet;QuenchingTimeInTool;QuenchingForce;spacing;DefaultToolTemperature;HARDNESS P1;HARDNESS P2;HARDNESS P3;THICKNESS P1;THICKNESS P2;THICKNESS P3;RUECKFEDERUNG P4;RUECKFEDERUNG P5;;;| AutoForm-SIGMA: Scatter Data Dump (MIME: text/csv)
58;1.468878692;16.02827204;941.2106424;4.305441929;1296203.88;0.290660156;284.5556979;441;448.3333435;457;1.325195313;1.439127564;1.446614623;-0.518468348;-0.513288837;;;
59;1.539697806;10.3454642;905.5241574;4.787984812;1781721.903;1.445326182;114.3581653;474.6666565;466.3333435;470;1.379231811;1.505208373;1.513997436;-0.157693022;-0.125107096;;;
60;1.486673235;23.18395189;947.5434312;9.935849259;1882990.101;0.801456179;211.1893117;436;416.3333435;421.3333435;1.338541627;1.459960938;1.464518189;-0.049089875;-0.031420563;;;
61;1.457202386;23.84375483;922.8328732;8.635125545;1304219.312;0.74983019;179.0675368;380.6666565;371.3333435;379;1.316080689;1.434244752;1.436523438;0.028466763;0.066321476;;;
62;1.517200261;19.5025646;936.4528071;3.002684945;861710.5268;1.770892287;154.1411593;413.6666565;431.3333435;440.3333435;1.366861939;1.493164063;1.493489623;-0.308792915;-0.294762201;;;
63;1.463250863;15.61154359;949.2488487;8.872281371;531595.9752;1.199868204;272.4293102;450.6666565;445.3333435;465;1.316731811;1.438802123;1.442382813;-0.342473004;-0.376087261;;;
64;1.52772255;24.5195263;930.8209944;2.769958119;930404.0317;0.337123565;214.4013215;388.3333435;386;385.6666565;1.377278686;1.497395873;1.503580689;-0.335137119;-0.352374293;;;
65;1.517894254;20.02000697;910.66339;4.895681132;557667.9145;1.44713057;124.1336504;396;390;399;1.369140625;1.493164063;1.495117188;0.000321234;0.011705018;;;
66;1.454838177;18.77324879;913.7968195;8.153870516;1561299.254;1.671352761;133.3071844;412;406.3333435;414;1.316731811;1.432291627;1.434570313;-0.082743464;-0.005307786;;;
67;1.469989862;18.51231926;935.0538073;7.720071454;1985741.337;1.0733788;111.4882246;422.3333435;442;446;1.327799439;1.446614623;1.449869752;-0.044696027;0.00643058;;;
68;1.540891878;15.55592324;921.324516;8.809343861;1399705.319;0.660180631;86.17685438;442.6666565;452.6666565;457;1.381835938;1.512044311;1.516927123;0.064782169;0.074236568;;;
69;1.45921297;18.92274226;908.2975559;5.732211187;754516.6123;1.018314802;250.7410509;394;386.6666565;393.3333435;1.317057252;1.436197877;1.4375;-0.285645263;-0.255456773;;;
70;1.45825744;11.54628889;902.3057574;9.618585216;1135381.804;1.477713708;217.7133063;448.6666565;445.3333435;456;1.317708373;1.433919311;1.435872436;-0.222780916;-0.192128622;;;
71;1.534063426;12.74624696;945.0987756;3.521284443;1447758.32;1.824153633;241.2774027;479;465.6666565;479.6666565;1.369140625;1.501302123;1.509114623;-0.192263843;-0.106166749;;;
72;1.4613848;18.16292909;909.5853181;9.511232814;767895.285;0.719381798;134.0669429;410.3333435;403;413;1.318359375;1.437825561;1.439453125;0.083763238;0.080185693;;;
73;1.5023872;16.86401843;904.3126901;5.856064434;880920.7205;1.152808752;269.6904743;408;397.3333435;411;1.353841186;1.476236939;1.479817748;-0.36821231;-0.307713399;;;
74;1.48480352;17.08718104;902.0826933;2.978148137;1740313.883;0.46061292;117.4456692;411;409.6666565;414.3333435;1.338867188;1.458333373;1.463216186;-0.189990299;-0.181420489;;;
75;1.469192845;24.54108962;906.8500142;6.211388485;991994.872;0.90433299;86.80214067;366;364.6666565;353.6666565;1.325846314;1.444335938;1.448242188;0.133895484;0.204991798;;;
76;1.526543361;17.81976476;902.9035588;5.689540373;945702.0906;1.508183015;241.3962469;400.3333435;392.3333435;402;1.373697877;1.498697877;1.501302123;-0.250692016;-0.2540527;;;
77;1.497035279;13.77718194;917.2869757;4.022168255;1175297.759;0.120915651;172.2564684;451;453;461;1.347981811;1.467773438;1.474934936;-0.239935042;-0.186450781;;;
78;1.542399096;11.0642033;937.0047233;4.08668388;677259.0245;0.766976748;97.56581154;483.6666565;478;483.3333435;1.377929688;1.508138061;1.517903686;-0.144433303;-0.117760034;;;
79;1.463414388;20.47137121;947.4426353;2.536645797;545812.9436;1.926453926;166.613037;419.6666565;432;441.3333435;1.322591186;1.443033814;1.443033814;-0.362692929;-0.301618179;;;
80;1.513592461;11.79112093;944.0572363;7.448282306;554726.5991;0.104647943;89.56181054;486;478.6666565;485;1.356119752;1.473958373;1.489908814;0.12849382;0.086208017;;;
81;1.494559664;24.05254787;913.6558604;9.182196563;627783.3188;0.40329802;165.3558902;386.3333435;364.6666565;364;1.345703125;1.468424439;1.472330689;0.094471482;0.075323073;;;
82;1.470575564;19.28434167;903.514244;5.625506146;1766730.841;1.963241225;106.8485914;391;386.6666565;393.3333435;1.330729127;1.446289063;1.448242188;-0.049487065;-0.005597501;;;
83;1.489211296;11.90530564;920.867929;5.200425388;1636333.501;0.95254892;201.2441424;468;465.6666565;473;1.338541627;1.4609375;1.466796875;-0.309646684;-0.282139172;;;
84;1.45681468;24.72962313;933.7503166;8.242989758;1139424.033;0.995170809;216.1265891;386.6666565;375.3333435;385;1.315429688;1.433919311;1.436523438;-0.045199573;0.008512711;;;
85;1.538303055;14.04792964;941.623715;9.963733562;1571207.313;0.574804694;191.7176646;474.6666565;475.3333435;480;1.377278686;1.506835938;1.514322877;-0.100514664;-0.090228333;;;
86;1.505548657;18.3063353;945.1579727;8.290661048;1752560.576;0.311393989;93.88274086;441.6666565;457.6666565;462;1.356119752;1.478515625;1.483072877;-0.009994569;0.009206183;;;
87;1.503772643;17.52041585;904.9971369;7.54434336;1137105.83;1.428888792;283.4413559;405;390.3333435;406;1.351888061;1.475911498;1.479817748;-0.323939748;-0.316376031;;;
88;1.535445866;23.89595437;935.5513329;4.031244807;1332759.103;0.599465005;120.495107;403.6666565;397.6666565;403.3333435;1.382486939;1.508463502;1.512044311;-0.085397594;-0.052342988;;;
89;1.522649859;15.3555944;935.8037744;7.3063235;1221623.278;1.969521189;120.9970284;461;465.3333435;470.6666565;1.367838502;1.494791627;1.498372436;-0.084623811;-0.061913598;;;
